year,total_death,Jews_and_others_total_death,Arabs_total_death
2003,95,84,11
2003,99,91,8
2003,98,90,8
2003,85,82,3
2003,95,86,9
2003,100,88,12
2003,118,105,13
2003,106,93,13
2003,106,92,14
2003,100,83,17
2003,103,96,7
2003,98,92,6
2003,96,81,15
2003,100,94,6
2003,109,96,13
2003,95,83,12
2003,106,97,9
2003,105,96,9
2003,97,87,10
2003,99,88,11
2003,94,76,18
2003,100,88,12
2003,129,117,12
2003,97,87,10
2003,121,103,18
2003,112,99,13
2003,131,125,6
2003,124,112,12
2003,124,111,13
2003,116,105,11
2003,133,117,16
2003,113,99,14
2003,126,111,15
2003,116,104,12
2003,122,115,7
2003,126,115,11
2003,104,92,12
2003,116,102,14
2003,120,117,3
2003,113,103,10
2003,134,120,14
2003,134,121,13
2003,127,114,13
2003,120,107,13
2003,119,116,3
2003,117,101,16
2003,116,99,17
2003,114,100,14
2003,124,118,6
2003,130,115,15
2003,116,104,12
2003,100,91,9
2003,94,84,10
2003,110,92,18
2003,128,121,7
2003,129,112,17
2003,120,104,16
2003,114,106,8
2003,131,122,9
2003,102,89,13
2003,133,120,13
2003,122,111,11
2003,123,111,12
2003,154,136,18
2003,131,113,18
2004,120,114,6
2004,125,116,9
2004,143,127,16
2004,126,111,15
2004,120,106,14
2004,123,116,7
2004,136,122,14
2004,133,125,8
2004,112,106,6
2004,106,97,9
2004,120,109,11
2004,127,111,16
2004,118,102,16
2004,119,110,9
2004,125,113,12
2004,126,113,13
2004,118,107,11
2004,105,97,8
2004,137,125,12
2004,127,110,17
2004,112,103,9
2004,122,112,10
2004,127,116,11
2004,110,106,4
2004,113,104,9
2004,122,110,12
2004,133,123,10
2004,117,99,18
2004,108,97,11
2004,116,100,16
2004,122,112,10
2004,108,96,12
2004,121,110,11
2004,106,97,9
2004,100,91,9
2004,115,98,17
2004,116,107,9
2004,96,91,5
2004,110,103,7
2004,105,96,9
2004,122,111,11
2004,114,102,12
2004,119,105,14
2004,106,94,12
2004,125,112,13
2004,116,104,12
2004,120,109,11
2004,122,104,18
2004,129,111,18
2004,109,99,10
2004,110,104,6
2004,105,97,8
2004,129,119,10
2004,122,109,13
2004,107,102,5
2004,123,118,5
2004,112,101,11
2004,97,88,9
2004,122,117,5
2004,112,102,10
2004,109,99,10
2004,124,114,10
2004,130,123,7
2004,116,108,8
2004,127,119,8
2004,115,101,14
2004,101,95,6
2004,104,90,14
2004,109,98,11
2004,95,85,10
2004,94,84,10
2004,111,99,12
2004,105,96,9
2004,116,105,11
2004,120,104,16
2004,112,103,9
2004,103,90,13
2004,109,103,6
2004,109,92,17
